country,nationality,scored
USA,British,0.6923076923076923
USA,Canadian,0.0
USA,Dutch,0.8
USA,French,0.25
USA,German,0.5555555555555556
USA,Italian,0.0
USA,Mexican,0.625
USA,Monegasque,0.5
USA,Russian,0.16666666666666666
USA,Spanish,0.7
